GeneName	condition
Havcr2	colon_uc_up_day2
Cd300e	colon_uc_up_day2
Serpina3f	colon_uc_up_day2
Sele	colon_uc_up_day2
Ngfr	colon_uc_up_day2
Ugt1a8	colon_uc_up_day2
Sirpb1b	colon_uc_up_day2
Cxcl9	colon_uc_up_day2
Gm26620	colon_uc_up_day2
Bnc1	colon_uc_up_day2
Chil1	colon_uc_up_day2
Chrna6	colon_uc_up_day2
Fxyd7	colon_uc_up_day2
Ido1	colon_uc_up_day2
Krt17	colon_uc_up_day2
Ccl3	colon_uc_up_day2
Kcng4	colon_uc_up_day2
Chodl	colon_uc_up_day2
Ifng	colon_uc_up_day2
Dpysl5	colon_uc_up_day2
Sv2a	colon_uc_up_day2
Gm9733	colon_uc_up_day2
Prrx2	colon_uc_up_day2
Gzmc	colon_uc_up_day2
Myrf	colon_uc_up_day2
Ly6d	colon_uc_up_day2
Cd22	colon_uc_up_day2
Ina	colon_uc_up_day2
Atp2b2	colon_uc_up_day2
Cyp26b1	colon_uc_up_day2
Ccl12	colon_uc_up_day2
Olfr56	colon_uc_up_day2
C1ql1	colon_uc_up_day2
Nupr1	colon_uc_up_day2
Hs3st2	colon_uc_up_day2
Hist1h3i	colon_uc_up_day2
Slc5a7	colon_uc_up_day2
Aldh1l2	colon_uc_up_day2
Bhlhe22	colon_uc_up_day2
Rflna	colon_uc_up_day2
Gchfr	colon_uc_up_day2
Atp6v0a4	colon_uc_up_day2
Serpina1b	colon_uc_up_day2
Nrg1	colon_uc_up_day2
Saxo1	colon_uc_up_day2
4930404N11Rik	colon_uc_up_day2
Fetub	colon_uc_up_day2
Rpl9-ps6	colon_uc_up_day2
Slc4a11	colon_uc_up_day2
Hist1h2bn	colon_uc_up_day2
Cldn8	colon_uc_up_day2
Alk	colon_uc_up_day2
Bmp8b	colon_uc_up_day2
Cfi	colon_uc_up_day2
Duxbl3	colon_uc_up_day2
Pcdha8	colon_uc_up_day2
Klra5	colon_uc_up_day2
Hesx1	colon_uc_up_day2
Hist1h2ah	colon_uc_up_day2
Stra6	colon_uc_up_day2
Dlgap2	colon_uc_up_day2
Pla2g4e	colon_uc_up_day2
Yy2	colon_uc_up_day2
Cyp7b1	colon_uc_up_day2
Kng1	colon_uc_up_day2
Slc23a3	colon_uc_up_day2
Sectm1a	colon_uc_up_day2
Col8a1	colon_uc_up_day2
Mab21l3	colon_uc_up_day2
Tecta	colon_uc_up_day2
Krt78	colon_uc_up_day2
Gm3055	colon_uc_up_day2
Dab1	colon_uc_up_day2
Gm14308	colon_uc_up_day2
Nrxn3	colon_uc_up_day2
Acod1	colon_uc_up_day2
Mup14	colon_uc_up_day2
Fabp7	colon_uc_up_day2
Slit1	colon_uc_up_day2
Hist1h2ac	colon_uc_up_day2
Ly6h	colon_uc_up_day2
Lrrn4	colon_uc_up_day2
Phox2a	colon_uc_up_day2
Gm9747	colon_uc_up_day2
Dnah6	colon_uc_up_day2
Gm12185	colon_uc_up_day2
Klra6	colon_uc_up_day2
Tfec	colon_uc_up_day2
Sun3	colon_uc_up_day2
Kndc1	colon_uc_up_day2
Il22	colon_uc_up_day2
Hoxd3	colon_uc_up_day2
Gpr84	colon_uc_up_day2
Gm43191	colon_uc_up_day2
Crb2	colon_uc_up_day2
Sapcd1	colon_uc_up_day2
Col9a2	colon_uc_up_day2
Gm3558	colon_uc_up_day2
Otogl	colon_uc_up_day2
Gm15448	colon_uc_up_day2
Gpr149	colon_uc_up_day2
A530064D06Rik	colon_uc_up_day2
Glis1	colon_uc_up_day2
Pcdhga8	colon_uc_up_day2
Col17a1	colon_uc_up_day2
Kirrel3	colon_uc_up_day2
Best1	colon_uc_up_day2
Gdf5	colon_uc_up_day2
Ntn5	colon_uc_up_day2
Ccdc60	colon_uc_up_day2
Rspo2	colon_uc_up_day2
Cngb1	colon_uc_up_day2
Chrna4	colon_uc_up_day2
Sit1	colon_uc_up_day2
Has2	colon_uc_up_day2
Cbln4	colon_uc_up_day2
Garem2	colon_uc_up_day2
Gbp10	colon_uc_up_day2
E130116L18Rik	colon_uc_up_day2
Gm3755	colon_uc_up_day2
Cpa2	colon_uc_up_day2
Hist1h2ab	colon_uc_up_day2
Necab2	colon_uc_up_day2
Nipal4	colon_uc_up_day2
Gabrg3	colon_uc_up_day2
Zc3h6	colon_uc_up_day2
Dlx3	colon_uc_up_day2
Hist1h2bk	colon_uc_up_day2
Cldn14	colon_uc_up_day2
Hsf2bp	colon_uc_up_day2
Chit1	colon_uc_up_day2
Ccl21b	colon_uc_up_day2
Ccl21c	colon_uc_up_day2
Cep72	colon_uc_up_day2
Fstl5	colon_uc_up_day2
Olfm3	colon_uc_up_day2
Ccl4	colon_uc_up_day2
Barx2	colon_uc_up_day2
Gm2163	colon_uc_up_day2
Gpr176	colon_uc_up_day2
Gm20878	colon_uc_up_day2
Krt5	colon_uc_up_day2
F2rl3	colon_uc_up_day2
Pdcd1	colon_uc_up_day2
Tcte3	colon_uc_up_day2
Tmem40	colon_uc_up_day2
Gramd2	colon_uc_up_day2
Psme2b	colon_uc_up_day2
Zfp708	colon_uc_up_day2
Gjb4	colon_uc_up_day2
Klhdc9	colon_uc_up_day2
Col4a2	colon_uc_up_day2
Cma1	colon_uc_up_day2
Gng8	colon_uc_up_day2
Lrrc27	colon_uc_up_day2
Oprk1	colon_uc_up_day2
Casr	colon_uc_up_day2
Prr16	colon_uc_up_day2
Ano5	colon_uc_up_day2
Igfbp2	colon_uc_up_day2
Lor	colon_uc_up_day2
Synpr	colon_uc_up_day2
Ccdc65	colon_uc_up_day2
Upk3b	colon_uc_up_day2
Zbed6	colon_uc_up_day2
A930033H14Rik	colon_uc_up_day2
Hdx	colon_uc_up_day2
Sln	colon_uc_up_day2
BC106179	colon_uc_up_day2
Pcdhb12	colon_uc_up_day2
Adh6a	colon_uc_up_day2
Pcdhgc5	colon_uc_up_day2
Rasal1	colon_uc_up_day2
Gm9913	colon_uc_up_day2
Bcat1	colon_uc_up_day2
Gm14444	colon_uc_up_day2
Pcdhb17	colon_uc_up_day2
Cryba4	colon_uc_up_day2
Gabrp	colon_uc_up_day2
Gm5819	colon_uc_up_day2
Pcdha12	colon_uc_up_day2
Plekha4	colon_uc_up_day2
Klra1	colon_uc_up_day2
Pcdha2	colon_uc_up_day2
Iqcg	colon_uc_up_day2
Duxbl1	colon_uc_up_day2
Dmp1	colon_uc_up_day2
Pcdhga9	colon_uc_up_day2
Pcdha9	colon_uc_up_day2
S100a3	colon_uc_up_day2
Stx11	colon_uc_up_day2
R3hdml	colon_uc_up_day2
Palm3	colon_uc_up_day2
Brinp3	colon_uc_up_day2
Hist1h4n	colon_uc_up_day2
Gm15013	colon_uc_up_day2
Bhmt	colon_uc_up_day2
Egr2	colon_uc_up_day2
Hs3st5	colon_uc_up_day2
Pla2g4d	colon_uc_up_day2
Pak7	colon_uc_up_day2
Oprl1	colon_uc_up_day2
Trim30c	colon_uc_up_day2
Gm6525	colon_uc_up_day2
Pim2	colon_uc_up_day2
Spata9	colon_uc_up_day2
Rab44	colon_uc_up_day2
Lrrc46	colon_uc_up_day2
Nr4a3	colon_uc_up_day2
Stk36	colon_uc_up_day2
Nhsl2	colon_uc_up_day2
Neil2	colon_uc_up_day2
Slpi	colon_uc_up_day2
Lrrn1	colon_uc_up_day2
St6gal2	colon_uc_up_day2
Adm	colon_uc_up_day2
Pcdhb10	colon_uc_up_day2
Ace3	colon_uc_up_day2
Dbp	colon_uc_down_day2
Per2	colon_uc_down_day2
Ciart	colon_uc_down_day2
Cys1	colon_uc_down_day2
Inmt	colon_uc_down_day2
Tef	colon_uc_down_day2
Slc9a3	colon_uc_down_day2
Slc20a1	colon_uc_down_day2
Greb1	colon_uc_down_day2
Fkbp5	colon_uc_down_day2
