GeneName	condition
Pde10a	GSE83687_Colon_GroupCD-GroupControl_Up
Cox7a2	GSE83687_Colon_GroupCD-GroupControl_Down
Itk	GSE83687_Colon_GroupCD-GroupControl_Up
Rasgrf2	GSE83687_Colon_GroupCD-GroupControl_Up
Arrdc3	GSE83687_Colon_GroupCD-GroupControl_Up
Pdgfrb	GSE83687_Colon_GroupCD-GroupControl_Up
Stc2	GSE83687_Colon_GroupCD-GroupControl_Up
Amotl2	GSE83687_Colon_GroupCD-GroupControl_Up
Fam162a	GSE83687_Colon_GroupCD-GroupControl_Down
Reg2	GSE83687_Colon_GroupCD-GroupControl_Up
Reg1	GSE83687_Colon_GroupCD-GroupControl_Up
Kcnj13	GSE83687_Colon_GroupCD-GroupControl_Up
Il18rap	GSE83687_Colon_GroupCD-GroupControl_Up
Plcl1	GSE83687_Colon_GroupCD-GroupControl_Up
Spr	GSE83687_Colon_GroupCD-GroupControl_Down
Rgs2	GSE83687_Colon_GroupCD-GroupControl_Up
Nid1	GSE83687_Colon_GroupCD-GroupControl_Up
Slamf1	GSE83687_Colon_GroupCD-GroupControl_Up
Adgrl2	GSE83687_Colon_GroupCD-GroupControl_Up
Kif17	GSE83687_Colon_GroupCD-GroupControl_Up
Hmgcl	GSE83687_Colon_GroupCD-GroupControl_Down
Prdx6	GSE83687_Colon_GroupCD-GroupControl_Down
Prdx6b	GSE83687_Colon_GroupCD-GroupControl_Down
Sgip1	GSE83687_Colon_GroupCD-GroupControl_Up
Tnfaip3	GSE83687_Colon_GroupCD-GroupControl_Up
Arg1	GSE83687_Colon_GroupCD-GroupControl_Up
Pcdh17	GSE83687_Colon_GroupCD-GroupControl_Up
Ifit3	GSE83687_Colon_GroupCD-GroupControl_Up
Ifit3b	GSE83687_Colon_GroupCD-GroupControl_Up
Ifit2	GSE83687_Colon_GroupCD-GroupControl_Up
Tek	GSE83687_Colon_GroupCD-GroupControl_Up
Cd274	GSE83687_Colon_GroupCD-GroupControl_Up
Cystm1	GSE83687_Colon_GroupCD-GroupControl_Down
Tex11	GSE83687_Colon_GroupCD-GroupControl_Down
Dusp4	GSE83687_Colon_GroupCD-GroupControl_Up
Crispld1	GSE83687_Colon_GroupCD-GroupControl_Up
